team,squad_market_value,experience_index,avg_squad_age,star_power,squad_form_minutes
Gibraltar,0.0,639.0,24.673602555327403,0,3985.0
Greece,534085000.0,2283.0,30.979853998882273,0,665604.0
Grenada,4250000.0,30.0,32.07696402768271,0,5043.0
Guadeloupe,17625000.0,181.0,34.03896429108028,0,29884.0
Guatemala,1700000.0,683.0,27.766065860521714,0,120.0
Guinea,122025000.0,683.0,29.252908966461327,1,104582.0
Guinea-Bissau,84510000.0,306.0,29.591883077666385,0,55470.0
Guyana,1250000.0,101.0,28.171937029431895,0,2175.0
Haiti,57150000.0,367.0,29.927446954140997,0,39327.0
Honduras,15425000.0,1172.0,30.428307717835438,0,16425.0
Hongkong,0.0,776.0,29.81625979161913,0,0.0
Hungary,188400000.0,1071.0,30.849210332851673,2,100000.0
Iceland,130030000.0,1433.0,30.47564725182795,0,127802.0
India,25000.0,401.0,27.790098106319874,0,0.0
Indonesia,27825000.0,555.0,26.884902193883065,0,66077.0
Iran,48800000.0,852.0,31.064632834653366,0,54081.0
Iraq,10600000.0,1274.0,27.444216290212182,0,9532.0
Ireland,299005000.0,1036.0,31.517781150492514,0,188101.0
Israel,83250000.0,888.0,30.646741197049202,0,68437.0
Italy,2345530000.0,2479.0,30.585922735048374,11,1201222.0
Jamaica,87425000.0,1109.0,28.66297920096688,0,47072.0
Japan,428450000.0,3430.0,26.940683363993102,0,326766.0
Jordan,6600000.0,1007.0,27.89054680964332,0,8289.0
Kazakhstan,11475000.0,341.0,30.334017796030114,0,20843.0
Kenya,25675000.0,214.0,29.21143945481058,0,17488.0
"Korea, North",400000.0,23.0,31.515400410677618,0,0.0
"Korea, South",126175000.0,3192.0,26.182704413101288,0,88688.0
Kosovo,93625000.0,1208.0,27.45164456754161,0,135917.0
Kyrgyzstan,800000.0,696.0,26.531964407939768,0,1869.0
Laos,200000.0,190.0,23.434020156246312,0,0.0
Latvia,10825000.0,879.0,29.315482546201235,0,9187.0
Lebanon,1400000.0,383.0,28.540111874247682,0,791.0
Liberia,3825000.0,155.0,28.113994150955136,0,7738.0
Libya,9400000.0,370.0,29.00580815488413,0,8664.0
Liechtenstein,475000.0,5.0,31.804243668720055,0,0.0
Lithuania,14810000.0,897.0,30.062780439577157,0,19638.0
Luxembourg,33110000.0,1237.0,27.42250449676074,0,40311.0
Macao,150000.0,0.0,31.46611909650924,0,0.0
Madagascar,12725000.0,151.0,31.3288694461804,0,18914.0
Malawi,375000.0,30.0,28.9180926306183,0,35.0
Malaysia,2350000.0,532.0,28.83051287497935,0,6559.0
Mali,222400000.0,1037.0,29.960879154308316,0,183429.0
Malta,6350000.0,955.0,27.98363808220071,0,14123.0
Martinique,17875000.0,94.0,34.94156168488818,0,10822.0
Mauritania,14675000.0,169.0,27.835256909532912,0,20897.0
Mauritius,150000.0,24.0,30.217659137577,0,2660.0
Mexico,207675000.0,3761.0,25.695792086793954,1,93807.0
Moldova,13310000.0,795.0,29.24598285583912,0,34760.0
Monaco,50000.0,0.0,32.29568788501027,0,0.0
Mongolia,0.0,3.0,21.363449691991786,0,0.0
Montenegro,63300000.0,1019.0,30.715298321326234,0,78652.0
Montserrat,1600000.0,0.0,32.69450148300251,0,0.0
Morocco,830830000.0,2280.0,28.965668398394694,3,425244.0
Mozambique,24775000.0,180.0,33.29728496463609,0,27469.0
Myanmar,0.0,607.0,26.718436936096076,0,0.0
Netherlands,2337600000.0,3167.0,29.724703289385012,8,1765002.0
Neukaledonien,650000.0,0.0,38.186173853524984,0,0.0
New Caledonia,5000000.0,1.0,30.209445585215605,0,3685.0
New Zealand,29550000.0,1191.0,25.67895440174701,0,30461.0
Nicaragua,150000.0,94.0,29.478895733515856,0,0.0
Niger,4750000.0,126.0,29.572789975254043,0,16640.0
Nigeria,593570000.0,1825.0,28.21030750120415,1,356534.0
North Macedonia,57025000.0,1173.0,30.774338406033507,0,64808.0
Northern Ireland,99175000.0,1019.0,30.849951764243023,0,84705.0
Norway,696650000.0,2569.0,26.98071511208834,3,395627.0
Oman,250000.0,1318.0,28.61404517453799,0,0.0
Pakistan,150000.0,25.0,29.89869952087611,0,0.0
Palestine,2900000.0,75.0,29.740999315537305,0,3906.0
Panama,19875000.0,1484.0,27.288787154542703,0,20798.0
Papua New Guinea,300000.0,0.0,30.428473648186174,0,0.0
Paraguay,156575000.0,1097.0,29.824786862041194,0,72045.0
Peru,37225000.0,1760.0,29.29605024761445,0,26421.0
Philippines,4000000.0,551.0,27.65265799680584,0,2174.0
Poland,354325000.0,3062.0,26.73239167859291,0,310652.0
Portugal,2369545000.0,3861.0,31.012597696058396,13,1434561.0
Puerto Rico,0.0,468.0,23.42115197145998,0,331.0
Qatar,12075000.0,2169.0,29.21499733820062,0,0.0
Romania,144690000.0,2439.0,27.15266462063839,0,135405.0
Russia,729945000.0,2005.0,30.113171923494374,0,1271069.0
Rwanda,2875000.0,86.0,28.412320328542098,0,6531.0
Réunion,150000.0,0.0,42.54072553045859,0,0.0
Saint-Martin,550000.0,7.0,38.38101756787589,0,68.0
San Marino,50000.0,297.0,26.09753593429158,0,196.0
Sao Tome and Principe,700000.0,8.0,30.827173169062284,0,1.0
Saudi Arabia,9075000.0,2402.0,26.101153312702266,0,7585.0
Scotland,523780000.0,2042.0,30.25385722550599,1,655277.0
Senegal,625755000.0,1506.0,29.909697896954814,2,347365.0
Serbia,582210000.0,3092.0,28.376650044001174,1,432178.0
Seychelles,75000.0,0.0,38.39561943874059,0,0.0
Sierra Leone,8810000.0,127.0,29.235517391574888,0,11045.0
Singapore,0.0,1084.0,28.128526884173702,0,0.0
Sint Maarten,350000.0,16.0,27.033538672142367,0,0.0
Slovakia,151570000.0,1667.0,30.893398575735066,0,152302.0
Slovenia,168555000.0,1141.0,30.887608113994148,1,130175.0
Somalia,25000.0,18.0,26.713210130047912,0,56.0
South Africa,36475000.0,810.0,29.45327727257912,0,21991.0
Southern Sudan,150000.0,14.0,26.66255989048597,0,45.0
Spain,3936940000.0,3624.0,31.222671374557684,18,2579866.0
Sri Lanka,0.0,10.0,35.67967145790554,0,0.0
St. Kitts & Nevis,1175000.0,0.0,33.89185489390828,0,1841.0
St. Lucia,375000.0,1.0,29.199863107460644,0,0.0
St. Vincent & Grenadinen,0.0,6.0,22.324435318275153,0,0.0
Sudan,0.0,0.0,20.21902806297057,0,0.0
Suriname,55975000.0,453.0,29.848535029034466,0,109455.0
Sweden,771150000.0,2746.0,27.024687243550463,6,389385.0
Switzerland,437075000.0,2845.0,27.08130353261662,2,304796.0
Syria,8050000.0,138.0,28.524796216788005,0,9900.0
Tahiti,400000.0,0.0,46.053388090349074,0,0.0
Tajikistan,1950000.0,985.0,26.18754277891855,0,5257.0
Tanzania,4600000.0,145.0,25.73077800593201,0,11564.0
Thailand,2650000.0,1125.0,28.228473648186174,0,1412.0
The Gambia,81120000.0,533.0,26.692157001581343,1,63592.0
Togo,33385000.0,381.0,31.163677846224047,0,37577.0
Trinidad and Tobago,12750000.0,153.0,28.690068772204295,0,12323.0
Tunisia,90010000.0,880.0,31.899709383871365,0,88613.0
Turkmenistan,100000.0,3.0,26.95687885010267,0,0.0
Türkiye,906740000.0,2939.0,29.065602729798286,3,1065677.0
Uganda,4225000.0,945.0,28.066819430804788,0,18283.0
Ukraine,739380000.0,2800.0,29.778987840224435,1,1585117.0
United Arab Emirates,300000.0,472.0,27.49765508150176,0,433.0
United States,571125000.0,2851.0,25.947311978989003,1,240514.0
Uruguay,670430000.0,2237.0,30.237318981567398,3,291946.0
Uzbekistan,61625000.0,1305.0,29.20352144256414,0,32760.0
Vanuatu,0.0,32.0,32.668035592060235,0,0.0
Venezuela,75500000.0,1588.0,29.219922360946658,0,79945.0
Vietnam,550000.0,607.0,27.1269751117713,0,0.0
Wales,231725000.0,1329.0,30.05389243128355,1,123647.0
Yemen,0.0,5.0,21.603011635865847,0,0.0
Zambia,50200000.0,222.0,29.27104722792608,0,14559.0
Zimbabwe,30600000.0,233.0,31.666087505923237,0,27986.0
