team,snapshot_date,total_squad_value,top_xi_value,avg_caps,gk_strength,def_strength,mid_strength,att_strength
Tanzania,2018-06-01,3000000,3000000,0,0,0.0,0.0,3000000.0
Thailand,2018-06-01,1400000,1400000,0,600000,150000.0,0.0,650000.0
The Gambia,2018-06-01,21200000,17275000,0,0,2225000.0,687500.0,1691666.6666666667
Togo,2018-06-01,40250000,36000000,0,250000,4100000.0,862500.0,4666666.666666667
Trinidad and Tobago,2018-06-01,3600000,3600000,0,0,500000.0,850000.0,450000.0
Tunisia,2018-06-01,58150000,46600000,0,1000000,2375000.0,4275000.0,6000000.0
Turkey,2018-06-01,48200000,30750000,0,2500000,1875000.0,3375000.0,2583333.3333333335
Turkmenistan,2018-06-01,100000,100000,0,0,0.0,0.0,100000.0
Türkiye,2018-06-01,183000000,142500000,0,3000000,7687500.0,13000000.0,17000000.0
Uganda,2018-06-01,6475000,6425000,0,0,1433333.3333333333,300000.0,350000.0
Ukraine,2018-06-01,127500000,94500000,0,3500000,5500000.0,6875000.0,14666666.666666666
United Arab Emirates,2018-06-01,200000,200000,0,0,200000.0,0.0,0.0
United States,2018-06-01,117750000,96500000,0,1000000,7000000.0,2812500.0,18333333.333333332
Uruguay,2018-06-01,395500000,327000000,0,6000000,25500000.0,17500000.0,51666666.666666664
Uzbekistan,2018-06-01,18050000,16600000,0,100000,2250000.0,1825000.0,1233333.3333333333
Venezuela,2018-06-01,54450000,42500000,0,1500000,1875000.0,2937500.0,7333333.333333333
Vietnam,2018-06-01,25000,25000,0,0,0.0,0.0,25000.0
Wales,2018-06-01,255500000,217000000,0,4500000,10750000.0,18250000.0,33666666.666666664
Zambia,2018-06-01,7275000,6850000,0,0,716666.6666666666,337500.0,633333.3333333334
Zimbabwe,2018-06-01,17425000,16800000,0,0,1250000.0,2350000.0,800000.0
0,2022-11-01,60800000,37200000,0,2000000,3000000.0,3000000.0,4000000.0
Afghanistan,2022-11-01,625000,625000,0,0,175000.0,225000.0,0.0
Albania,2022-11-01,124300000,107000000,0,5000000,10000000.0,7625000.0,11166666.666666666
Algeria,2022-11-01,290500000,232000000,0,0,15000000.0,17125000.0,31666666.666666668
Andorra,2022-11-01,300000,300000,0,300000,0.0,0.0,0.0
Angola,2022-11-01,66100000,53000000,0,0,8175000.0,2100000.0,3333333.3333333335
Antigua and Barbuda,2022-11-01,1650000,1650000,0,0,275000.0,600000.0,183333.33333333334
Argentina,2022-11-01,723500000,463000000,0,28000000,37500000.0,30000000.0,55000000.0
Armenia,2022-11-01,31225000,28050000,0,0,1037500.0,5000000.0,1200000.0
Aruba,2022-11-01,1600000,1600000,0,0,50000.0,191666.66666666666,487500.0
Australia,2022-11-01,40450000,29050000,0,5000000,1875000.0,2750000.0,1933333.3333333333
Austria,2022-11-01,341000000,250000000,0,0,28250000.0,21000000.0,13000000.0
Azerbaijan,2022-11-01,9250000,7050000,0,700000,375000.0,625000.0,816666.6666666666
Bahrain,2022-11-01,300000,300000,0,0,0.0,300000.0,0.0
Bangladesh,2022-11-01,5000000,5000000,0,0,0.0,5000000.0,0.0
Barbados,2022-11-01,700000,700000,0,0,200000.0,0.0,166666.66666666666
Belarus,2022-11-01,14650000,9350000,0,450000,825000.0,800000.0,916666.6666666666
Belgium,2022-11-01,642000000,466000000,0,60000000,20333333.333333332,47500000.0,45000000.0
Benin,2022-11-01,22075000,18850000,0,400000,1350000.0,412500.0,3600000.0
Bermuda,2022-11-01,1350000,1350000,0,0,0.0,0.0,675000.0
Bolivia,2022-11-01,4650000,4500000,0,0,550000.0,362500.0,433333.3333333333
Bonaire,2022-11-01,600000,600000,0,0,0.0,0.0,300000.0
Bosnia-Herzegovina,2022-11-01,92500000,65500000,0,5000000,4425000.0,7125000.0,5000000.0
Brazil,2022-11-01,1210000000,745000000,0,50000000,52000000.0,58750000.0,88333333.33333333
Brunei Darussalam,2022-11-01,200000,200000,0,0,0.0,0.0,200000.0
Bulgaria,2022-11-01,24300000,16300000,0,1500000,733333.3333333334,1525000.0,1816666.6666666667
Burkina Faso,2022-11-01,83000000,76000000,0,2000000,10250000.0,662500.0,10000000.0
Burundi,2022-11-01,10850000,10800000,0,0,2483333.3333333335,300000.0,666666.6666666666
Cabo Verde,2022-11-01,43300000,31400000,0,4000000,1016666.6666666666,1875000.0,4400000.0
Cameroon,2022-11-01,186500000,138000000,0,12000000,9125000.0,11000000.0,15666666.666666666
Canada,2022-11-01,170650000,159500000,0,1500000,19250000.0,3650000.0,20666666.666666668
Central African Republic,2022-11-01,25450000,23950000,0,300000,225000.0,5293750.0,583333.3333333334
Chad,2022-11-01,2000000,2000000,0,0,0.0,100000.0,633333.3333333334
Chile,2022-11-01,82600000,63000000,0,1000000,5575000.0,4000000.0,7833333.333333333
China,2022-11-01,7975000,7300000,0,275000,387500.0,325000.0,1316666.6666666667
Chinese Taipei,2022-11-01,650000,650000,0,0,150000.0,500000.0,0.0
Colombia,2022-11-01,376000000,277000000,0,0,16000000.0,15000000.0,42666666.666666664
Comoros,2022-11-01,26400000,23450000,0,200000,2712500.0,1287500.0,2433333.3333333335
Congo,2022-11-01,18750000,13900000,0,300000,950000.0,1325000.0,1500000.0
Congo DR,2022-11-01,154400000,109500000,0,0,11875000.0,4266666.666666667,12333333.333333334
Costa Rica,2022-11-01,24100000,20600000,0,6000000,1300000.0,337500.0,2500000.0
Cote d'Ivoire,2022-11-01,438000000,316000000,0,16000000,19000000.0,35666666.666666664,32666666.666666668
Croatia,2022-11-01,407500000,297500000,0,8500000,26000000.0,33000000.0,12333333.333333334
Cuba,2022-11-01,2200000,2200000,0,500000,0.0,0.0,850000.0
Curacao,2022-11-01,29825000,23700000,0,600000,3375000.0,1662500.0,1000000.0
Cyprus,2022-11-01,17750000,12950000,0,500000,1137500.0,1025000.0,1333333.3333333333
Czech Republic,2022-11-01,201200000,169000000,0,4500000,6500000.0,17875000.0,23000000.0
Denmark,2022-11-01,363000000,239000000,0,0,23000000.0,24250000.0,16333333.333333334
Dominican Republic,2022-11-01,28175000,27825000,0,1000000,3281250.0,4062500.0,1733333.3333333333
Ecuador,2022-11-01,124900000,103700000,0,0,12625000.0,9800000.0,4000000.0
Egypt,2022-11-01,150650000,140300000,0,0,1750000.0,3675000.0,35500000.0
El Salvador,2022-11-01,1625000,1625000,0,0,150000.0,200000.0,308333.3333333333
England,2022-11-01,1402000000,850000000,0,0,57500000.0,83750000.0,78333333.33333333
Equatorial Guinea,2022-11-01,11375000,10300000,0,200000,487500.0,1737500.0,450000.0
Eritrea,2022-11-01,1400000,1400000,0,0,0.0,600000.0,200000.0
Estonia,2022-11-01,6150000,4975000,0,800000,525000.0,337500.0,308333.3333333333
Ethiopia,2022-11-01,775000,775000,0,0,300000.0,175000.0,300000.0
Faroe Islands,2022-11-01,2700000,2425000,0,50000,243750.0,225000.0,183333.33333333334
Finland,2022-11-01,37450000,31000000,0,4000000,825000.0,3750000.0,2833333.3333333335
France,2022-11-01,1261000000,775000000,0,35000000,57500000.0,55750000.0,100000000.0
French Guiana,2022-11-01,4350000,4350000,0,800000,675000.0,0.0,283333.3333333333
Gabon,2022-11-01,51100000,47475000,0,0,418750.0,3375000.0,10000000.0
Georgia,2022-11-01,85650000,74800000,0,20000000,1800000.0,1750000.0,13766666.666666666
Germany,2022-11-01,917000000,633000000,0,30000000,33500000.0,73750000.0,65000000.0
Ghana,2022-11-01,233500000,176500000,0,0,15250000.0,15125000.0,17666666.666666668
Greece,2022-11-01,145800000,102500000,0,16000000,9875000.0,6375000.0,8500000.0
Grenada,2022-11-01,4300000,4300000,0,100000,75000.0,3000000.0,350000.0
Guadeloupe,2022-11-01,32000000,27900000,0,0,4625000.0,500000.0,1000000.0
Guatemala,2022-11-01,2900000,2900000,0,0,0.0,0.0,966666.6666666666
Guinea,2022-11-01,112450000,97000000,0,0,3550000.0,12750000.0,9000000.0
Guinea-Bissau,2022-11-01,48025000,39600000,0,500000,2575000.0,2375000.0,6600000.0
Guyana,2022-11-01,950000,950000,0,0,200000.0,50000.0,250000.0
Haiti,2022-11-01,32650000,29550000,0,300000,2575000.0,4150000.0,3000000.0
Honduras,2022-11-01,16150000,13475000,0,0,268750.0,862500.0,2633333.3333333335
Hungary,2022-11-01,99950000,89000000,0,8000000,10500000.0,8500000.0,1333333.3333333333
Iceland,2022-11-01,36000000,26300000,0,1200000,2475000.0,2500000.0,2133333.3333333335
India,2022-11-01,25000,25000,0,25000,0.0,0.0,0.0
Indonesia,2022-11-01,23950000,21450000,0,6000000,2700000.0,606250.0,516666.6666666667
Iran,2022-11-01,71150000,61000000,0,1500000,1750000.0,2500000.0,14000000.0
Iraq,2022-11-01,7925000,6500000,0,0,375000.0,775000.0,566666.6666666666
Ireland,2022-11-01,124500000,94000000,0,15000000,11250000.0,3425000.0,5000000.0
Israel,2022-11-01,63200000,51800000,0,1300000,1600000.0,2325000.0,11166666.666666666
Italy,2022-11-01,805000000,528000000,0,50000000,32750000.0,53750000.0,42666666.666666664
Jamaica,2022-11-01,147000000,133500000,0,0,12950000.0,3500000.0,19000000.0
Japan,2022-11-01,148200000,113000000,0,0,9250000.0,9875000.0,9166666.666666666
Jordan,2022-11-01,1625000,1625000,0,0,0.0,212500.0,1200000.0
Kazakhstan,2022-11-01,12825000,11050000,0,650000,1625000.0,543750.0,633333.3333333334
Kenya,2022-11-01,20575000,20475000,0,0,1700000.0,1175000.0,3466666.6666666665
"Korea, North",2022-11-01,400000,400000,0,0,0.0,0.0,400000.0
"Korea, South",2022-11-01,159325000,149000000,0,0,6943750.0,6125000.0,30833333.333333332
Kosovo,2022-11-01,91700000,74500000,0,4000000,8575000.0,3000000.0,7000000.0
Kyrgyzstan,2022-11-01,1250000,1250000,0,0,750000.0,0.0,500000.0
Laos,2022-11-01,350000,350000,0,0,0.0,0.0,350000.0
Latvia,2022-11-01,10725000,9150000,0,0,925000.0,312500.0,1333333.3333333333
Lebanon,2022-11-01,1575000,1575000,0,75000,300000.0,600000.0,300000.0
Liberia,2022-11-01,4075000,3800000,0,0,250000.0,218750.0,650000.0
Libya,2022-11-01,16600000,16600000,0,0,0.0,5200000.0,1000000.0
Liechtenstein,2022-11-01,575000,575000,0,25000,0.0,275000.0,0.0
Lithuania,2022-11-01,7050000,4750000,0,600000,466666.6666666667,293750.0,375000.0
Luxembourg,2022-11-01,27425000,24500000,0,1500000,587500.0,4075000.0,1300000.0
Macao,2022-11-01,150000,150000,0,0,0.0,150000.0,0.0
Madagascar,2022-11-01,19275000,17750000,0,150000,2150000.0,1950000.0,250000.0
Malawi,2022-11-01,275000,275000,0,0,75000.0,200000.0,0.0
Malaysia,2022-11-01,4575000,4575000,0,0,850000.0,175000.0,1183333.3333333333
Mali,2022-11-01,222700000,180000000,0,0,5125000.0,26000000.0,9000000.0
Malta,2022-11-01,7225000,7225000,0,50000,283333.3333333333,3000000.0,1662500.0
Martinique,2022-11-01,20600000,16700000,0,400000,1725000.0,1100000.0,1800000.0
Mauritania,2022-11-01,12500000,10850000,0,200000,362500.0,481250.0,2133333.3333333335
Mauritius,2022-11-01,300000,300000,0,0,300000.0,0.0,0.0
Mexico,2022-11-01,180000000,134500000,0,0,5250000.0,12375000.0,21000000.0
Moldova,2022-11-01,12150000,9300000,0,600000,1350000.0,600000.0,383333.3333333333
Monaco,2022-11-01,50000,50000,0,0,0.0,50000.0,0.0
Montenegro,2022-11-01,57700000,49000000,0,2000000,6375000.0,812500.0,5500000.0
Montserrat,2022-11-01,1650000,1650000,0,0,250000.0,325000.0,500000.0
Morocco,2022-11-01,319100000,241000000,0,18000000,30750000.0,8250000.0,20000000.0
Mozambique,2022-11-01,29500000,29025000,0,50000,6637500.0,250000.0,425000.0
Netherlands,2022-11-01,709000000,464000000,0,0,51250000.0,35000000.0,37333333.333333336
Neukaledonien,2022-11-01,650000,650000,0,0,500000.0,150000.0,0.0
New Caledonia,2022-11-01,9000000,9000000,0,0,0.0,9000000.0,0.0
New Zealand,2022-11-01,25375000,22450000,0,450000,1462500.0,1262500.0,3816666.6666666665
Nicaragua,2022-11-01,75000,75000,0,0,0.0,0.0,75000.0
Niger,2022-11-01,3050000,3050000,0,0,200000.0,216666.66666666666,550000.0
Nigeria,2022-11-01,376000000,276000000,0,0,10750000.0,20500000.0,35666666.666666664
North Macedonia,2022-11-01,57700000,50800000,0,4000000,2425000.0,8050000.0,1800000.0
Northern Ireland,2022-11-01,41700000,33800000,0,900000,5375000.0,2350000.0,733333.3333333334
Norway,2022-11-01,371000000,306500000,0,0,9000000.0,22250000.0,57666666.666666664
Oman,2022-11-01,250000,250000,0,250000,0.0,0.0,0.0
Pakistan,2022-11-01,175000,175000,0,0,100000.0,0.0,75000.0
Palestine,2022-11-01,1675000,1675000,0,0,141666.66666666666,0.0,375000.0
Panama,2022-11-01,9850000,9525000,0,0,1343750.0,200000.0,1016666.6666666666
Papua New Guinea,2022-11-01,350000,350000,0,0,0.0,0.0,350000.0
Paraguay,2022-11-01,110400000,82500000,0,0,7250000.0,4875000.0,10500000.0
Peru,2022-11-01,42925000,34100000,0,0,2450000.0,4500000.0,1733333.3333333333
Philippines,2022-11-01,7625000,7450000,0,600000,225000.0,316666.6666666667,1558333.3333333333
Poland,2022-11-01,293000000,217000000,0,15000000,15250000.0,19500000.0,22333333.333333332
Portugal,2022-11-01,1033000000,680000000,0,35000000,58750000.0,61250000.0,66666666.666666664
Qatar,2022-11-01,16550000,16550000,0,0,575000.0,1183333.3333333333,5250000.0
Romania,2022-11-01,83700000,59000000,0,3500000,2350000.0,7250000.0,5333333.333333333
Russia,2022-11-01,196000000,126000000,0,16000000,6500000.0,15250000.0,7500000.0
Rwanda,2022-11-01,625000,625000,0,50000,162500.0,150000.0,100000.0
Réunion,2022-11-01,150000,150000,0,0,150000.0,0.0,0.0
Saint-Martin,2022-11-01,600000,600000,0,0,50000.0,0.0,275000.0
